comparison,model,wins,losses,ties,invalid,valid_non_tie_pairs,win_rate,ci_low,ci_high
sft_vs_ppo,sft,1,9,2,8,10,0.1,0.01787574951572113,0.4041563854975721
sft_vs_ppo,ppo_hh,9,1,2,8,10,0.9,0.5958436145024278,0.9821242504842788
sft_vs_dpo,sft,3,5,4,8,8,0.375,0.13684175946152105,0.6942621454161981
sft_vs_dpo,dpo_hh,5,3,4,8,8,0.625,0.30573785458380187,0.863158240538479
ppo_vs_dpo,ppo_hh,5,2,5,8,7,0.7142857142857143,0.35892909014821267,0.9177828342909844
ppo_vs_dpo,dpo_hh,2,5,5,8,7,0.2857142857142857,0.0822171657090155,0.6410709098517873
